route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
217,"0_1","0_1_21701_217_10003","Struge",,0,21701,"217_1"
177,"0_1","0_1_17606_177_10005","G. Bistra",,0,17606,"177_12"
212,"0_1","0_1_21201_212_10011","Sesvete",,0,21201,"212_1"
270,"0_1","0_1_27002_270_10003","Blaguša",,0,27002,"270_4"
268,"0_1","0_1_26820_268_10022","Gl.kolodvor",,1,26820,"268_9"
220,"0_1","0_1_22001_220_10005","Dugave",,0,22001,"220_3"
2,"0_1","0_1_207_2_10004","Črnomerec",,1,207,"2_13"
14,"0_1","0_1_1410_14_10062","Mihaljevac",,1,1410,"14_9"
2,"0_1","0_1_203_2_10031","Savišće",,0,203,"2_11"
1,"0_1","0_1_101_1_10007","Borongaj",,0,101,"1_10"
137,"0_1","0_1_13701_137_10003","Per.-Borčec",,0,13701,"137_1"
8,"0_1","0_1_802_8_10021","Sopot",,0,802,
3,"0_1","0_1_302_3_10019","Savišće",,0,302,"3_3"
127,"0_1","0_1_12701_127_10011","Mikulići",,0,12701,"127_5"
268,"0_1","0_1_26803_268_10047","V. Gorica",,0,26803,"268_3"
307,"0_1","0_1_30801_307_10002","Zapruđe",,1,30801,"307_20"
121,"0_1","0_1_12101_121_10002","Črnomerec",,1,12101,"121_5"
110,"0_1","0_1_11001_110_10001","Botinec",,0,11001,"110_1"
290,"0_1","0_1_29001_290_10007","V. Gorica",,0,29001,"290_1"
271,"0_1","0_1_27103_271_10006","Dubec",,1,27103,"271_5"
218,"0_1","0_1_21801_218_10003","Borovje",,0,21801,"218_4"
234,"0_1","0_1_23401_234_10005","Lanište",,0,23401,"234_6"
276,"0_1","0_1_21602_276_10001","Dumovec",,0,21602,"276_4"
215,"0_1","0_1_21501_215_10004","Kvat. trg",,1,21501,"215_2"
279,"0_1","0_1_27901_279_10001","Novi Jelkovec",,0,27901,"279_6"
221,"0_1","0_1_22101_221_10005","Travno",,0,22101,"221_1"
241,"0_1","0_1_24101_241_10001","Veliko Polje",,0,24101,"241_3"
242,"0_1","0_1_24201_242_10001","Podbrežje",,0,24201,"242_5"
277,"0_1","0_1_27701_277_10009","Ses.Selnica",,0,27701,"277_7"
107,"0_1","0_1_10701_107_10012","RT Jankomir",,1,10701,"107_1"
311,"0_1","0_1_31102_311_10004","Gl.kolodvor",,1,31102,"311_1"
17,"0_1","0_1_1703_17_10023","Borongaj",,0,1703,"17_14"
4,"0_1","0_1_402_4_10030","Savski most",,1,402,"4_5"
9,"0_1","0_1_903_9_10033","Borongaj",,0,903,"9_1"
11,"0_1","0_1_1104_11_10012","Črnomerec",,1,1104,"11_14"
